title,journal,link,device,author
EXPLORING THE TRANSIENT PHENOMENA OF ELECTROMAGNETIC INDUCTION, HBCSE - TIFR, https://secure.hbcse.tifr.res.in/epi6/papers/Strand-3-posters/epi6_P-40_Amit%20Dhakulkar%20&%20Nagarjuna%20G.pdf, ExpEYES, Amit Dhakulkar and Nagarjuna G 
Evaluation of Boltzmann's Constant : Revisit using interfaced data analysis, Physics Education 32(3):1-5 · September 2016, https://www.researchgate.net/publication/315827939_Evaluation_of_Boltzmann's_Constant_Revisit_using_interfaced_data_analysis, ExpEYES, Vandana Luthra et al
Analysis of Transient Response of First & Second Order System using ExpEYES, International Journal of Electrical Electronics and Computer Systems (IJEECS),http://www.sitrc.sandipfoundation.org/wp-content/uploads/2018/07/3.3.5_53_Analysis-of-Transient-Response-of-First-Second-Order-System-using-EXPEYES_OSV.pdf, ExpEYES, Omkar S. Vaidya et al.
Optical Sensor Using ExpEyes Junior Kit, International Journal of Innovations in Engineering and Technology (IJIET),  http://ijiet.com/wp-content/uploads/2013/12/23.pdf, ExpEYES-jr , Trilochan Patra 
AUDIO FREQUENCY ANALYZER USING EXPEYES AND RASPBERRY PI, 3rd international conference on recent innovations in science engineering and management, http://data.conferenceworld.in/SVCET/P195-199.pdf, ExPEYES, Haldankar et al.
A Low Cost Open Source Hardware Tool for Integrated Learning Experience in Laboratories, Journal of engineering education transformations DOI: 10.16920/jeet/2015/v0i0/59677,http://www.journaleet.org/index.php/jeet/article/view/59677, ExpEYES, A. B. Raju et al.
A light weight MCA and γ -ray spectroscopy system: Application to estimate 40K content in some potassium salts and building materials, Pramana 90(1) · January 2018, https://www.researchgate.net/publication/321895283_A_light_weight_multichannel_analyser_and_gamma_g_-ray_spectroscopy_system_Application_to_estimate_40_40_K_content_in_some_potassium_salts_and_building_materials/citation/download, ExpEYES, Venkatramanan et al
INNOVATIVE APPROACH FOR SOLAR RADIATION MEASUREMENT AND DATA ACQUISITION USING expEYES, http://dx.doi.org/10.29369/ijrbat.2015.03.II.0053, https://www.researchgate.net/publication/330443988_INNOVATIVE_APPROACH_FOR_SOLAR_RADIATION_MEASUREMENT_AND_DATA_ACQUISITION_USING_expEYES, ExpEYES, V S Rahangadale and A K Mittra
