title,language,pdf,device,epub
ExpEYES17 User Manual,English,https://github.com/expeyes/expeyes-programs/raw/master/eyes17/helpFiles/en/build/latex/expEYES-17.pdf,expeyes17,https://github.com/expeyes/expeyes-programs/raw/master/eyes17/helpFiles/en/build/epub/expEYES-17.epub
ExpEYES17 User Manual,Malayalam,https://github.com/expeyes/expeyes-programs/raw/master/eyes17/helpFiles/ml/build/latex/expEYES-17.pdf,expeyes17,https://github.com/expeyes/expeyes-programs/raw/master/eyes17/helpFiles/ml/build/epub/expEYES-17.epub
ExpEYES17 User Manual,French,https://github.com/expeyes/expeyes-programs/raw/master/eyes17/helpFiles/fr/build/latex/expEYES-17.pdf,expeyes17,https://github.com/expeyes/expeyes-programs/raw/master/eyes17/helpFiles/fr/build/epub/expEYES-17.epub
ExpEYES17 User Manual,Spanish,https://github.com/expeyes/expeyes-programs/raw/master/eyes17/helpFiles/es/build/latex/expEYES-17.pdf,expeyes17,https://github.com/expeyes/expeyes-programs/raw/master/eyes17/helpFiles/es/build/epub/expEYES-17.epub
Expeyes-Jr User Manual,English,https://github.com/expeyes/expeyes-programs/raw/master/eyesjunior/helpFiles/en/build/latex/expEYES-Junior.pdf,expeyes-jr,https://github.com/expeyes/expeyes-programs/raw/master/eyesjunior/helpFiles/en/build/epub/expEYES-Junior.epub
Expeyes-Jr User Manual,Malayalam,https://github.com/expeyes/expeyes-programs/raw/master/eyesjunior/helpFiles/ml/build/latex/expEYES-Junior.pdf,expeyes-jr,https://github.com/expeyes/expeyes-programs/raw/master/eyesjunior/helpFiles/ml/build/epub/expEYES-Junior.epub
Expeyes-Jr User Manual,French,https://github.com/expeyes/expeyes-programs/raw/master/eyesjunior/helpFiles/fr/build/latex/expEYES-Junior.pdf,expeyes-jr,https://github.com/expeyes/expeyes-programs/raw/master/eyesjunior/helpFiles/fr/build/epub/expEYES-Junior.epub
Expeyes-Jr User Manual,Spanish,https://github.com/expeyes/expeyes-programs/raw/master/eyesjunior/helpFiles/es/build/latex/expEYES-Junior.pdf,expeyes-jr,https://github.com/expeyes/expeyes-programs/raw/master/eyesjunior/helpFiles/es/build/epub/expEYES-Junior.epub
